,zipCode,countyID,countyName
39871,77031,48157,Fort Bend County
39893,77053,48157,Fort Bend County
39923,77082,48157,Fort Bend County
39925,77083,48157,Fort Bend County
39928,77085,48157,Fort Bend County
39942,77099,48157,Fort Bend County
40020,77406,48157,Fort Bend County
40021,77407,48157,Fort Bend County
40025,77417,48157,Fort Bend County
40028,77420,48157,Fort Bend County
40032,77423,48157,Fort Bend County
40039,77430,48157,Fort Bend County
40046,77435,48157,Fort Bend County
40051,77441,48157,Fort Bend County
40055,77444,48157,Fort Bend County
40063,77450,48157,Fort Bend County
40065,77451,48157,Fort Bend County
40074,77459,48157,Fort Bend County
40076,77461,48157,Fort Bend County
40077,77464,48157,Fort Bend County
40084,77469,48157,Fort Bend County
40086,77471,48157,Fort Bend County
40091,77476,48157,Fort Bend County
40092,77477,48157,Fort Bend County
40094,77478,48157,Fort Bend County
40095,77479,48157,Fort Bend County
40098,77481,48157,Fort Bend County
40105,77485,48157,Fort Bend County
40109,77489,48157,Fort Bend County
40111,77493,48157,Fort Bend County
40114,77494,48157,Fort Bend County
40117,77498,48157,Fort Bend County
40153,77545,48157,Fort Bend County
40182,77583,48157,Fort Bend County
40184,77584,48157,Fort Bend County
