,zipCode,countyID,countyName
39842,77002,48201,Harris County
39843,77003,48201,Harris County
39844,77004,48201,Harris County
39845,77005,48201,Harris County
39846,77006,48201,Harris County
39847,77007,48201,Harris County
39848,77008,48201,Harris County
39849,77009,48201,Harris County
39850,77010,48201,Harris County
39851,77011,48201,Harris County
39852,77012,48201,Harris County
39853,77013,48201,Harris County
39854,77014,48201,Harris County
39855,77015,48201,Harris County
39856,77016,48201,Harris County
39857,77017,48201,Harris County
39858,77018,48201,Harris County
39859,77019,48201,Harris County
39860,77020,48201,Harris County
39861,77021,48201,Harris County
39862,77022,48201,Harris County
39863,77023,48201,Harris County
39864,77024,48201,Harris County
39865,77025,48201,Harris County
39866,77026,48201,Harris County
39867,77027,48201,Harris County
39868,77028,48201,Harris County
39869,77029,48201,Harris County
39870,77030,48201,Harris County
39872,77031,48201,Harris County
39873,77032,48201,Harris County
39874,77033,48201,Harris County
39875,77034,48201,Harris County
39876,77035,48201,Harris County
39877,77036,48201,Harris County
39878,77037,48201,Harris County
39879,77038,48201,Harris County
39880,77039,48201,Harris County
39881,77040,48201,Harris County
39882,77041,48201,Harris County
39883,77042,48201,Harris County
39884,77043,48201,Harris County
39885,77044,48201,Harris County
39886,77045,48201,Harris County
39887,77046,48201,Harris County
39888,77047,48201,Harris County
39889,77048,48201,Harris County
39890,77049,48201,Harris County
39891,77050,48201,Harris County
39892,77051,48201,Harris County
39894,77053,48201,Harris County
39895,77054,48201,Harris County
39896,77055,48201,Harris County
39897,77056,48201,Harris County
39898,77057,48201,Harris County
39899,77058,48201,Harris County
39900,77059,48201,Harris County
39901,77060,48201,Harris County
39902,77061,48201,Harris County
39903,77062,48201,Harris County
39904,77063,48201,Harris County
39905,77064,48201,Harris County
39906,77065,48201,Harris County
39907,77066,48201,Harris County
39908,77067,48201,Harris County
39909,77068,48201,Harris County
39910,77069,48201,Harris County
39911,77070,48201,Harris County
39912,77071,48201,Harris County
39913,77072,48201,Harris County
39914,77073,48201,Harris County
39915,77074,48201,Harris County
39916,77075,48201,Harris County
39917,77076,48201,Harris County
39918,77077,48201,Harris County
39919,77078,48201,Harris County
39920,77079,48201,Harris County
39921,77080,48201,Harris County
39922,77081,48201,Harris County
39924,77082,48201,Harris County
39926,77083,48201,Harris County
39927,77084,48201,Harris County
39929,77085,48201,Harris County
39930,77086,48201,Harris County
39931,77087,48201,Harris County
39932,77088,48201,Harris County
39933,77089,48201,Harris County
39934,77090,48201,Harris County
39935,77091,48201,Harris County
39936,77092,48201,Harris County
39937,77093,48201,Harris County
39938,77094,48201,Harris County
39939,77095,48201,Harris County
39940,77096,48201,Harris County
39941,77098,48201,Harris County
39943,77099,48201,Harris County
39944,77204,48201,Harris County
39964,77336,48201,Harris County
39965,77338,48201,Harris County
39966,77339,48201,Harris County
39971,77345,48201,Harris County
39972,77346,48201,Harris County
39980,77357,48201,Harris County
39992,77365,48201,Harris County
40002,77373,48201,Harris County
40004,77375,48201,Harris County
40006,77377,48201,Harris County
40009,77379,48201,Harris County
40016,77388,48201,Harris County
40017,77389,48201,Harris County
40018,77396,48201,Harris County
40019,77401,48201,Harris County
40037,77429,48201,Harris County
40042,77433,48201,Harris County
40058,77447,48201,Harris County
40062,77449,48201,Harris County
40064,77450,48201,Harris County
40093,77477,48201,Harris County
40102,77484,48201,Harris County
40110,77489,48201,Harris County
40112,77493,48201,Harris County
40115,77494,48201,Harris County
40118,77502,48201,Harris County
40119,77503,48201,Harris County
40120,77504,48201,Harris County
40121,77505,48201,Harris County
40122,77506,48201,Harris County
40123,77507,48201,Harris County
40135,77520,48201,Harris County
40137,77521,48201,Harris County
40139,77523,48201,Harris County
40140,77530,48201,Harris County
40142,77532,48201,Harris County
40146,77535,48201,Harris County
40148,77536,48201,Harris County
40156,77546,48201,Harris County
40157,77547,48201,Harris County
40164,77562,48201,Harris County
40171,77571,48201,Harris County
40179,77581,48201,Harris County
40186,77586,48201,Harris County
40187,77587,48201,Harris County
40191,77598,48201,Harris County
