,Neighborhood,Geoid,Tractce
0,Pasadena,48201320800,320800
1,Pasadena,48201320901,320901
2,Pasadena,48201320902,320902
3,Pasadena,48201321401,321401
4,Pasadena,48201321401,321401
5,Pasadena,48201321402,321402
6,Pasadena,48201321500,321500
7,Pasadena,48201321600,321600
8,Pasadena,48201322000,322000
9,Pasadena,48201322100,322100
10,Pasadena,48201322200,322200
11,Pasadena,48201322600,322600
12,Pasadena,48201322701,322701
13,Pasadena,48201322702,322702
14,Pasadena,48201322800,322800
15,Pasadena,48201322900,322900
16,Pasadena,48201323000,323000
17,Pasadena,48201323100,323100
18,Pasadena,48201323200,323200
19,Pasadena,48201323300,323300
20,Pasadena,48201323400,323400
21,Pasadena,48201323500,323500
22,Pasadena,48201323601,323601
23,Pasadena,48201323602,323602
24,Pasadena,48201324000,324000
25,Pasadena,48201323701,323701
26,Pasadena,48201323801,323801
27,Pasadena,48201323802,323802
28,Pasadena,48201323900,323900
29,Pasadena,48201233300,233300
30,Pasadena,48201233703,233703
31,Pasadena,48201324101,324101
32,Pasadena,48201324102,324102
33,Gulfton/Sharpstown,48201421000,421000
34,Gulfton/Sharpstown,48201421101,421101
35,Gulfton/Sharpstown,48201421103,421103
36,Gulfton/Sharpstown,48201421104,421104
37,Gulfton/Sharpstown,48201421203,421203
38,Gulfton/Sharpstown,48201421204,421204
39,Gulfton/Sharpstown,48201421205,421205
40,Gulfton/Sharpstown,48201421206,421206
41,Gulfton/Sharpstown,48201421301,421301
42,Gulfton/Sharpstown,48201421302,421302
43,Gulfton/Sharpstown,48201421401,421401
44,Gulfton/Sharpstown,48201421402,421402
45,Gulfton/Sharpstown,48201421403,421403
46,Gulfton/Sharpstown,48201421501,421501
47,Gulfton/Sharpstown,48201421502,421502
48,Gulfton/Sharpstown,48201421601,421601
49,Gulfton/Sharpstown,48201421602,421602
50,Gulfton/Sharpstown,48201422701,422701
51,Gulfton/Sharpstown,48201422702,422702
52,Gulfton/Sharpstown,48201432803,432803
53,Gulfton/Sharpstown,48201432804,432804
54,Gulfton/Sharpstown,48201432805,432805
55,Gulfton/Sharpstown,48201432806,432806
56,Hobby/Harbach,48201332200,332200
57,Hobby/Harbach,48201332300,332300
58,Hobby/Harbach,48201332400,332400
59,Hobby/Harbach,48201332300,332300
60,Hobby/Harbach,48201332400,332400
61,Hobby/Harbach,48201332500,332500
62,Hobby/Harbach,48201332200,332200
63,Hobby/Harbach,48201332300,332300
64,Hobby/Harbach,48201332600,332600
65,Hobby/Harbach,48201332200,332200
66,Hobby/Harbach,48201332700,332700
67,Hobby/Harbach,48201332800,332800
68,Hobby/Harbach,48201332900,332900
69,Hobby/Harbach,48201333000,333000
70,Hobby/Harbach,48201333100,333100
71,Hobby/Harbach,48201333201,333201
72,Hobby/Harbach,48201333203,333203
73,Hobby/Harbach,48201333204,333204
74,Hobby/Harbach,48201333205,333205
75,Hobby/Harbach,48201333501,333501
76,Hobby/Harbach,48201333502,333502
77,Hobby/Harbach,48201331700,331700
78,Hobby/Harbach,48201333600,333600
79,EastAldine,48201221800,221800
80,EastAldine,48201221900,221900
81,EastAldine,48201222100,222100
82,EastAldine,48201222200,222200
83,EastAldine,48201222300,222300
84,EastAldine,48201222401,222401
85,EastAldine,48201222701,222701
86,EastAldine,48201222702,222702
87,EastAldine,48201241502,241502
88,EastAldine,48201222800,222800
89,EastAldine,48201222900,222900
90,EastAldine,48201223001,223001
91,EastAldine,48201223002,223002
92,EastAldine,48201223100,223100
93,East End,48201310101,310101
94,East End,48201310102,310102
95,East End,48201310200,310200
96,East End,48201310300,310300
97,East End,48201310101,310101
98,East End,48201310400,310400
99,East End,48201310500,310500
100,East End,48201310600,310600
101,East End,48201310700,310700
102,East End,48201310800,310800
103,East End,48201310900,310900
104,East End,48201212500,212500
105,East End,48201311001,311001
106,East End,48201311002,311002
107,East End,48201212500,212500
108,East End,48201311100,311100
109,East End,48201311200,311200
110,East End,48201311300,311300
111,East End,48201311400,311400
112,East End,48201212500,212500
113,East End,48201311400,311400
114,East End,48201311502,311502
115,East End,48201311501,311501
116,East End,48201311502,311502
117,East End,48201311600,311600
